IA10800,01JAN2017,6:35
IA10801,01JAN2017,9:35
IA10802,01JAN2017,12:35
IA10803,01JAN2017,15:35
IA10804,01JAN2017,18:35
IA10805,01JAN2017,21:35
IA10800,01JAN2017,6:35
IA10801,01JAN2017,9:35
IA10802,01JAN2017,12:35
IA10803,01JAN2017,15:35
IA10804,01JAN2017,18:35
IA10805,01JAN2017,21:35
IA10800,01JAN2017,6:35
IA10801,01JAN2017,9:35
IA10802,01JAN2017,12:35
IA10803,01JAN2017,15:35
IA10804,01JAN2017,18:35
IA10805,01JAN2017,21:35
IA10800,01JAN2017,6:35
IA10801,01JAN2017,9:35
IA10802,01JAN2017,12:35
IA10803,01JAN2017,15:35
IA10804,01JAN2017,18:35
IA10805,01JAN2017,21:35
IA10800,01JAN2017,6:35
