NorthEast   1  158,510                                                          
SouthWest   4  292,801                                                          
NorthEast   3  172,301                                                          
SouthWest   1  384,220                                                          
NorthEast   2  506,510                                                          
SouthWest   3  392,202                                                          
NorthEast   4  148,510                                                          
SouthEast   1  284,720                                                          
NorthWest   2  348,803                                                          
SouthEast   3  122,220                                                          
NorthWest   4  384,840                                                          
SouthEast   1  339,880                                                          
