01APR90 68 02APR90 67 03APR90 70                                                
04APR90 74 05APR90 72 06APR90 73                                                
07APR90 71 08APR90 75 09APR90 76                                                
10APR90 78 11APR90 70 12APR90 69                                                
13APR90 71 14APR90 72 15APR90 74                                                
16APR90 73 17APR90 71 18APR90 75                                                
19APR90 75 20APR90 73 21APR90 75                                                
22APR90 77 23APR90 78 24APR90 80                                                
25APR90 78 26APR90 77 27APR90 79                                                
28APR90 81 29APR90 81 81APR90 84                                                
