IA10800,01JAN2016,6:35
IA10801,01JAN2016,9:35
IA10802,01JAN2016,12:35
IA10803,01JAN2016,15:35
IA10804,01JAN2016,18:35
IA10805,01JAN2016,21:35
IA10800,01JAN2016,6:35
IA10801,01JAN2016,9:35
IA10802,01JAN2016,12:35
IA10803,01JAN2016,15:35
IA10804,01JAN2016,18:35
IA10805,01JAN2016,21:35
IA10800,01JAN2016,6:35
IA10801,01JAN2016,9:35
IA10802,01JAN2016,12:35
IA10803,01JAN2016,15:35
IA10804,01JAN2016,18:35
IA10805,01JAN2016,21:35
IA10800,01JAN2016,6:35
IA10801,01JAN2016,9:35
IA10802,01JAN2016,12:35
IA10803,01JAN2016,15:35
IA10804,01JAN2016,18:35
IA10805,01JAN2016,21:35
IA10800,01JAN2016,6:35
